"Player","Team","Position","Value","Position Rank",
"Chuba Hubbard","CAR","RB","$1","RB56",
"Russell Wilson","DEN","QB","$1","QB18",
"Isaiah Hodgins","NYG","WR","$1","WR73",
"Hunter Henry","NE","TE","$1","TE25",
"Evan McPherson","CIN","K","$1","K2",
"Younghoe Koo","ATL","K","$1","K3",
"Tyler Bass","BUF","K","$1","K4",
"Jason Myers","SEA","K","$1","K5",
"Buffalo Bills","BUF","DST","$1","DST4",
"Harrison Butker","KC","K","$1","K6",
"New England Patriots","NE","DST","$1","DST5",
"Wil Lutz","NO","K","$1","K8",
"Donovan Peoples-Jones","CLE","WR","$1","WR74",
"Dustin Hopkins","LAC","K","$1","K9",
"Brandon McManus","JAX","K","$1","K10",
"Washington Commanders","WAS","DST","$1","DST6",
"Daniel Carlson","LV","K","$1","K12",
"Tyler Conklin","NYJ","TE","$1","TE26",
"Los Angeles Chargers","LAC","DST","$1","DST7",
"Rashid Shaheed","NO","WR","$1","WR75",
"Cleveland Browns","CLE","DST","$1","DST8",
"Jacksonville Jaguars","JAX","DST","$1","DST9",
"New Orleans Saints","NO","DST","$1","DST10",
"Baltimore Ravens","BAL","DST","$1","DST11",
"Kansas City Chiefs","KC","DST","$1","DST12",
"New York Jets","NYJ","DST","$1","DST13",
"Denver Broncos","DEN","DST","$1","DST14",
"Kyler Murray","ARI","QB","$1","QB23",
"Riley Patterson","DET","K","$0","K7",
"Jake Moody","SF","K","$0","K11",
"Kareem Hunt","FA","RB","$0","RB57",
"Jake Elliott","PHI","K","$0","K13",
"Greg Joseph","MIN","K","$0","K14",
"Cairo Santos","CHI","K","$0","K15",
"Brett Maher","DEN","K","$0","K16",
"Jason Sanders","MIA","K","$0","K17",
"Joshua Kelley","LAC","RB","$0","RB58",
"Kenny Pickett","PIT","QB","$0","QB19",
"Cade York","CLE","K","$0","K18",
"Chris Boswell","PIT","K","$0","K19",
"Greg Zuerlein","NYJ","K","$0","K20",
"D'Onta Foreman","CHI","RB","$0","RB59",
"Nick Folk","NE","K","$0","K21",
"Ezekiel Elliott","NE","RB","$0","RB60",
"Clyde Edwards-Helaire","KC","RB","$0","RB61",
"Graham Gano","NYG","K","$0","K22",
"Mecole Hardman","NYJ","WR","$0","WR76",
"Matt Gay","IND","K","$0","K23",
"Tanner Brown","LAR","K","$0","K24",
"Ty Chandler","MIN","RB","$0","RB62",
"Eddy Pineiro","CAR","K","$0","K25",
"Anders Carlson","GB","K","$0","K26",
"Trey McBride","ARI","TE","$0","TE27",
"Michael Mayer","LV","TE","$0","TE28",
"Alec Pierce","IND","WR","$0","WR77",
"Joey Slye","WAS","K","$0","K27",
"Chase McLaughlin","TB","K","$0","K28",
"Noah Fant","SEA","TE","$0","TE29",
"Ka'imi Fairbairn","HOU","K","$0","K29",
"Michael Wilson","ARI","WR","$0","WR78",
"Matt Prater","ARI","K","$0","K30",
"Caleb Shudak","TEN","K","$0","K31",
"Derek Carr","NO","QB","$0","QB20",
"Tennessee Titans","TEN","DST","$0","DST15",
"Atlanta Falcons","ATL","DST","$0","DST16",
"Jalin Hyatt","NYG","WR","$0","WR79",
"Detroit Lions","DET","DST","$0","DST17",
"Pittsburgh Steelers","PIT","DST","$0","DST18",
"Jimmy Garoppolo","LV","QB","$0","QB21",
"Miami Dolphins","MIA","DST","$0","DST19",
"Darius Slayton","NYG","WR","$0","WR80",
"Mike Gesicki","NE","TE","$0","TE30",
"New York Giants","NYG","DST","$0","DST20",
"Green Bay Packers","GB","DST","$0","DST21",
"Carolina Panthers","CAR","DST","$0","DST22",
"Cincinnati Bengals","CIN","DST","$0","DST23",
"Tampa Bay Buccaneers","TB","DST","$0","DST24",
"Indianapolis Colts","IND","DST","$0","DST25",
"Matthew Stafford","LAR","QB","$0","QB22",
"DeVante Parker","NE","WR","$0","WR81",
"Houston Texans","HOU","DST","$0","DST26",
"Seattle Seahawks","SEA","DST","$0","DST27",
"Gus Edwards","BAL","RB","$0","RB63",
"Las Vegas Raiders","LV","DST","$0","DST28",
"Minnesota Vikings","MIN","DST","$0","DST29",
"Josh Downs","IND","WR","$0","WR82",
"Brandon Aubrey","DAL","K","$0","K32",
"Brock Purdy","SF","QB","$0","QB24",
"Ryan Tannehill","TEN","QB","$0","QB25",
"Los Angeles Rams","LAR","DST","$0","DST30",
"Taysom Hill","NO","TE","$0","TE31",
"Zamir White","LV","RB","$0","RB64",
"John Metchie","HOU","WR","$0","WR83",
"Corey Davis","NYJ","WR","$0","WR84",
"Cade Otton","TB","TE","$0","TE32",
"Jordan Love","GB","QB","$0","QB26",
"Allen Robinson","PIT","WR","$0","WR85",
"Chase Claypool","CHI","WR","$0","WR86",
"Bryce Young","CAR","QB","$0","QB27",
"Kyren Williams","LAR","RB","$0","RB65",
"Robert Woods","HOU","WR","$0","WR87",
"Nathaniel Dell","HOU","WR","$0","WR88",
"Isaiah Likely","BAL","TE","$0","TE33",
"Arizona Cardinals","ARI","DST","$0","DST31",
"Chris Evans","CIN","RB","$0","RB66",
"Tutu Atwell","LAR","WR","$0","WR89",
"Cordarrelle Patterson","ATL","RB","$0","RB67",
"Chicago Bears","CHI","DST","$0","DST32",
"Josh Palmer","LAC","WR","$0","WR90",
"Mac Jones","NE","QB","$0","QB28",
"Parris Campbell","NYG","WR","$0","WR91",
"Zach Ertz","ARI","TE","$0","TE34",
"Chase Brown","CIN","RB","$0","RB68",
"Richie James","KC","WR","$0","WR92",
"C.J. Stroud","HOU","QB","$0","QB29",
"Latavius Murray","BUF","RB","$0","RB69",
"Kendrick Bourne","NE","WR","$0","WR93",
"Tyquan Thornton","NE","WR","$0","WR94",
"Deuce Vaughn","DAL","RB","$0","RB70",
"Keaontay Ingram","ARI","RB","$0","RB71",
"Marvin Jones","DET","WR","$0","WR95",
"Sam Howell","WAS","QB","$0","QB30",
"Chris Rodriguez","WAS","RB","$0","RB72",
"Chase Edmonds","TB","RB","$0","RB73",
"DeWayne McBride","MIN","RB","$0","RB74",
"Wan'Dale Robinson","NYG","WR","$0","WR96",
"Josh Reynolds","DET","WR","$0","WR97",
"Terrace Marshall","CAR","WR","$0","WR98",
