"Player","Team","Position","Value","Position Rank",
"Christian Kirk","JAX","WR","$23","WR22",
"Najee Harris","PIT","RB","$22","RB18",
"Joe Burrow","CIN","QB","$20","QB5",
"Drake London","ATL","WR","$20","WR23",
"Christian Watson","GB","WR","$18","WR24",
"Chris Godwin","TB","WR","$18","WR25",
"Dameon Pierce","HOU","RB","$18","RB19",
"Darren Waller","NYG","TE","$17","TE4",
"J.K. Dobbins","BAL","RB","$17","RB20",
"George Kittle","SF","TE","$16","TE5",
"Diontae Johnson","PIT","WR","$16","WR26",
"Javonte Williams","DEN","RB","$15","RB21",
"Marquise Brown","ARI","WR","$15","WR27",
"Terry McLaurin","WAS","WR","$15","WR28",
"D.J. Moore","CHI","WR","$14","WR29",
"Brandon Aiyuk","SF","WR","$14","WR30",
"James Cook","BUF","RB","$14","RB22",
"Justin Fields","CHI","QB","$13","QB6",
"Dallas Goedert","PHI","TE","$13","TE6",
"Tyler Lockett","SEA","WR","$13","WR31",
"Kyle Pitts","ATL","TE","$13","TE7",
"Miles Sanders","CAR","RB","$13","RB23",
"Justin Herbert","LAC","QB","$13","QB7",
"Cam Akers","LAR","RB","$12","RB24",
"Jordan Addison","MIN","WR","$12","WR32",
"David Montgomery","DET","RB","$12","RB25",
"Michael Pittman","IND","WR","$11","WR33",
"Jerry Jeudy","DEN","WR","$11","WR34",
"Mike Evans","TB","WR","$11","WR35",
"D'Andre Swift","PHI","RB","$10","RB26",
"Rachaad White","TB","RB","$10","RB27",
"Alvin Kamara","NO","RB","$9","RB28",
"Brandin Cooks","DAL","WR","$9","WR37",
"Dalvin Cook","NYJ","RB","$9","RB29",
"Quentin Johnston","LAC","WR","$8","WR38",
"Jaxon Smith-Njigba","SEA","WR","$8","WR40",
"Kadarius Toney","KC","WR","$8","WR52",
"Deshaun Watson","CLE","QB","$7","QB8",
"Evan Engram","JAX","TE","$7","TE8",
"George Pickens","PIT","WR","$6","WR39",
"Gabe Davis","BUF","WR","$6","WR42",
"Isiah Pacheco","KC","RB","$6","RB30",
"Pat Freiermuth","PIT","TE","$6","TE9",
"Jahan Dotson","WAS","WR","$5","WR36",
"Trevor Lawrence","JAX","QB","$5","QB9",
"Antonio Gibson","WAS","RB","$5","RB31",
"Treylon Burks","TEN","WR","$5","WR44",
"Rashod Bateman","BAL","WR","$4","WR53",
"Courtland Sutton","DEN","WR","$3","WR41",
"Zay Flowers","BAL","WR","$3","WR43",
"A.J. Dillon","GB","RB","$3","RB32",
"Samaje Perine","DEN","RB","$3","RB33",
"James Conner","ARI","RB","$3","RB34",
"David Njoku","CLE","TE","$3","TE10",
"Zach Charbonnet","SEA","RB","$3","RB35",
"Daniel Jones","NYG","QB","$3","QB10",
"Brian Robinson","WAS","RB","$3","RB36",
"Khalil Herbert","CHI","RB","$3","RB37",
"JuJu Smith-Schuster","NE","WR","$3","WR45",
"Jakobi Meyers","LV","WR","$3","WR46",
"Tyler Boyd","CIN","WR","$3","WR48",
"Elijah Moore","CLE","WR","$3","WR49",
"Tua Tagovailoa","MIA","QB","$3","QB12",
"Zay Jones","JAX","WR","$3","WR51",
"Kirk Cousins","MIN","QB","$3","QB13",
"Allen Lazard","NYJ","WR","$3","WR54",
"Dalton Schultz","HOU","TE","$3","TE12",
"Dak Prescott","DAL","QB","$3","QB14",
"Nico Collins","HOU","WR","$3","WR55",
"Elijah Mitchell","SF","RB","$3","RB40",
"De'Von Achane","MIA","RB","$3","RB42",
"Rashaad Penny","PHI","RB","$3","RB48",
"Rondale Moore","ARI","WR","$3","WR69",
"Jaylen Warren","PIT","RB","$2","RB38",
"Skyy Moore","KC","WR","$2","WR47",
"Anthony Richardson","IND","QB","$2","QB11",
"Dalton Kincaid","BUF","TE","$2","TE11",
"Jerick McKinnon","KC","RB","$2","RB39",
"Tyler Higbee","LAR","TE","$2","TE13",
"Chigoziem Okonkwo","TEN","TE","$2","TE14",
"Tank Bigsby","JAX","RB","$2","RB41",
"Gerald Everett","LAC","TE","$2","TE15",
"Geno Smith","SEA","QB","$2","QB15",
"Romeo Doubs","GB","WR","$2","WR56",
"Greg Dulcich","DEN","TE","$2","TE17",
"Darnell Mooney","CHI","WR","$2","WR57",
"Damien Harris","BUF","RB","$2","RB44",
"Odell Beckham","BAL","WR","$2","WR61",
"Aaron Rodgers","NYJ","QB","$2","QB16",
"Marquez Valdes-Scantling","KC","WR","$2","WR62",
"D.J. Chark","CAR","WR","$2","WR65",
"Adam Thielen","CAR","WR","$2","WR66",
"Tyler Allgeier","ATL","RB","$2","RB49",
"Jonathan Mingo","CAR","WR","$2","WR67",
"Michael Gallup","DAL","WR","$2","WR68",
"Jamaal Williams","NO","RB","$2","RB51",
"Roschon Johnson","CHI","RB","$2","RB52",
"Jameson Williams","DET","WR","$2","WR72",
"Michael Thomas","NO","WR","$1","WR50",
"Sam LaPorta","DET","TE","$1","TE16",
"Kenneth Gainwell","PHI","RB","$1","RB43",
"Irv Smith","CIN","TE","$1","TE18",
"Raheem Mostert","MIA","RB","$1","RB45",
"Van Jefferson","LAR","WR","$1","WR58",
"Jake Ferguson","DAL","TE","$1","TE19",
"Rashee Rice","KC","WR","$1","WR59",
"Jayden Reed","GB","WR","$1","WR60",
"Tyjae Spears","TEN","RB","$1","RB46",
"Juwan Johnson","NO","TE","$1","TE20",
"Luke Musgrave","GB","TE","$1","TE21",
"Dawson Knox","BUF","TE","$1","TE22",
"Marvin Mims","DEN","WR","$1","WR63",
"Jeffery Wilson","MIA","RB","$1","RB47",
"K.J. Osborn","MIN","WR","$1","WR64",
"Dallas Cowboys","DAL","DST","$1","DST1",
"Devin Singletary","HOU","RB","$1","RB50",
"Hayden Hurst","CAR","TE","$1","TE23",
"San Francisco 49ers","SF","DST","$1","DST2",
"Curtis Samuel","WAS","WR","$1","WR70",
"Hunter Renfrow","LV","WR","$1","WR71",
"Justin Tucker","BAL","K","$1","K1",
"Philadelphia Eagles","PHI","DST","$1","DST3",
"Cole Kmet","CHI","TE","$1","TE24",
"Kendre Miller","NO","RB","$1","RB53",
"Jerome Ford","CLE","RB","$1","RB54",
"Jared Goff","DET","QB","$1","QB17",
"Chuba Hubbard","CAR","RB","$1","RB55",
"Isaiah Hodgins","NYG","WR","$1","WR73",
"Hunter Henry","NE","TE","$1","TE25",
"Russell Wilson","DEN","QB","$1","QB18",
"Mecole Hardman","NYJ","WR","$1","WR74",
"Evan McPherson","CIN","K","$1","K2",
"Younghoe Koo","ATL","K","$1","K3",
"Tyler Bass","BUF","K","$1","K4",
"Jason Myers","SEA","K","$1","K5",
"Buffalo Bills","BUF","DST","$1","DST4",
"Harrison Butker","KC","K","$1","K6",
"New England Patriots","NE","DST","$1","DST5",
"Alec Pierce","IND","WR","$1","WR75",
"Leonard Fournette","FA","RB","$1","RB56",
"Wil Lutz","NO","K","$1","K8",
"Dustin Hopkins","LAC","K","$1","K9",
"Brandon McManus","JAX","K","$1","K10",
"Washington Commanders","WAS","DST","$1","DST6",
"Daniel Carlson","LV","K","$1","K12",
"Tyler Conklin","NYJ","TE","$1","TE26",
"Los Angeles Chargers","LAC","DST","$1","DST7",
"Cleveland Browns","CLE","DST","$1","DST8",
"Jacksonville Jaguars","JAX","DST","$1","DST9",
"New Orleans Saints","NO","DST","$1","DST10",
"Baltimore Ravens","BAL","DST","$1","DST11",
"Kansas City Chiefs","KC","DST","$1","DST12",
"New York Jets","NYJ","DST","$1","DST13",
"Denver Broncos","DEN","DST","$1","DST14",
"Kyler Murray","ARI","QB","$1","QB28",
"Riley Patterson","DET","K","$0","K7",
"Clyde Edwards-Helaire","KC","RB","$0","RB57",
"Kyren Williams","LAR","RB","$0","RB58",
"Donovan Peoples-Jones","CLE","WR","$0","WR76",
"Jake Moody","SF","K","$0","K11",
"Kareem Hunt","FA","RB","$0","RB59",
"Jake Elliott","PHI","K","$0","K13",
"Greg Joseph","MIN","K","$0","K14",
"Cairo Santos","CHI","K","$0","K15",
"Brett Maher","DEN","K","$0","K16",
"Jason Sanders","MIA","K","$0","K17",
"Joshua Kelley","LAC","RB","$0","RB60",
"Kenny Pickett","PIT","QB","$0","QB19",
"Cade York","CLE","K","$0","K18",
"Chris Boswell","PIT","K","$0","K19",
"Greg Zuerlein","NYJ","K","$0","K20",
"Rashid Shaheed","NO","WR","$0","WR77",
"Nick Folk","NE","K","$0","K21",
"Sam Howell","WAS","QB","$0","QB20",
"Ezekiel Elliott","NE","RB","$0","RB61",
"Graham Gano","NYG","K","$0","K22",
"Matt Gay","IND","K","$0","K23",
"Tanner Brown","LAR","K","$0","K24",
"Ty Chandler","MIN","RB","$0","RB62",
"Eddy Pineiro","CAR","K","$0","K25",
"Anders Carlson","GB","K","$0","K26",
"Michael Mayer","LV","TE","$0","TE27",
"Joey Slye","WAS","K","$0","K27",
"Trey McBride","ARI","TE","$0","TE28",
"Chase McLaughlin","TB","K","$0","K28",
"Noah Fant","SEA","TE","$0","TE29",
"Jalin Hyatt","NYG","WR","$0","WR78",
"Ka'imi Fairbairn","HOU","K","$0","K29",
"Matt Prater","ARI","K","$0","K30",
"Caleb Shudak","TEN","K","$0","K31",
"Chris Evans","CIN","RB","$0","RB63",
"Derek Carr","NO","QB","$0","QB21",
"Tennessee Titans","TEN","DST","$0","DST15",
"Michael Wilson","ARI","WR","$0","WR79",
"Atlanta Falcons","ATL","DST","$0","DST16",
"Detroit Lions","DET","DST","$0","DST17",
"Pittsburgh Steelers","PIT","DST","$0","DST18",
"Jimmy Garoppolo","LV","QB","$0","QB22",
"Miami Dolphins","MIA","DST","$0","DST19",
"Darius Slayton","NYG","WR","$0","WR80",
"Mike Gesicki","NE","TE","$0","TE30",
"New York Giants","NYG","DST","$0","DST20",
"Green Bay Packers","GB","DST","$0","DST21",
"Carolina Panthers","CAR","DST","$0","DST22",
"Cincinnati Bengals","CIN","DST","$0","DST23",
"Tampa Bay Buccaneers","TB","DST","$0","DST24",
"Indianapolis Colts","IND","DST","$0","DST25",
"DeVante Parker","NE","WR","$0","WR81",
"Houston Texans","HOU","DST","$0","DST26",
"Seattle Seahawks","SEA","DST","$0","DST27",
"Matthew Stafford","LAR","QB","$0","QB23",
"D'Onta Foreman","CHI","RB","$0","RB64",
"Gus Edwards","BAL","RB","$0","RB65",
"Josh Downs","IND","WR","$0","WR82",
"Las Vegas Raiders","LV","DST","$0","DST28",
"Minnesota Vikings","MIN","DST","$0","DST29",
"Brandon Aubrey","DAL","K","$0","K32",
"Brock Purdy","SF","QB","$0","QB24",
"Ryan Tannehill","TEN","QB","$0","QB25",
"Los Angeles Rams","LAR","DST","$0","DST30",
"Taysom Hill","NO","TE","$0","TE31",
"Zamir White","LV","RB","$0","RB66",
"John Metchie","HOU","WR","$0","WR83",
"Jordan Love","GB","QB","$0","QB26",
"Cade Otton","TB","TE","$0","TE32",
"Allen Robinson","PIT","WR","$0","WR84",
"Sean Tucker","TB","RB","$0","RB67",
"Bryce Young","CAR","QB","$0","QB27",
"Chase Claypool","CHI","WR","$0","WR85",
"Robert Woods","HOU","WR","$0","WR86",
"Nathaniel Dell","HOU","WR","$0","WR87",
"Isaiah Likely","BAL","TE","$0","TE33",
"Arizona Cardinals","ARI","DST","$0","DST31",
"Tutu Atwell","LAR","WR","$0","WR88",
"Cordarrelle Patterson","ATL","RB","$0","RB68",
"Chicago Bears","CHI","DST","$0","DST32",
"Josh Palmer","LAC","WR","$0","WR89",
"Mac Jones","NE","QB","$0","QB29",
"Parris Campbell","NYG","WR","$0","WR90",
"Richie James","KC","WR","$0","WR91",
"Zach Ertz","ARI","TE","$0","TE34",
"C.J. Stroud","HOU","QB","$0","QB30",
"Chase Brown","CIN","RB","$0","RB69",
"Latavius Murray","BUF","RB","$0","RB70",
"Kendrick Bourne","NE","WR","$0","WR92",
"Tyquan Thornton","NE","WR","$0","WR93",
"Deuce Vaughn","DAL","RB","$0","RB71",
"Marvin Jones","DET","WR","$0","WR94",
"DeWayne McBride","MIN","RB","$0","RB72",
"Keaontay Ingram","ARI","RB","$0","RB73",
"Wan'Dale Robinson","NYG","WR","$0","WR95",
"Josh Reynolds","DET","WR","$0","WR96",
"Terrace Marshall","CAR","WR","$0","WR97",
"Durham Smythe","MIA","TE","$0","TE35",
"Austin Hooper","LV","TE","$0","TE36",
